text,label
hôm nay linh tinh 1tr2 rồi,Khác
dụng cụ grooming cho chó 300k,Thú cưng
máy giặt tháng này 45k,Nhà ở
05-05-2026 cho thuê 180k rồi,Đầu tư
đi karaoke cùng nhóm bạn 200k,Giải trí
05-05-2026 chi Du lịch 900k á,Du lịch
tối qua ủng hộ 35k nhé,Từ thiện
đóng internet wifi 120.000đ (2026),Nhà ở
hôm nay trả hoa 900k thật,Quà tặng
"chi phí học thêm toán 1,5tr",Giáo dục
"mua tắm cắt lông cho thú cưng 1,5tr",Thú cưng
đóng phí thi 650k,Giáo dục
vừa chi đồ dùng học 35k nhé,Giáo dục
nạp dt 50.000 hơi đau ví,Hóa đơn
chuyển khoản phụng dưỡng 550k lần này,Gia đình
chuyển khoản sữa bột 10tr,Gia đình
mua ốp lưng 350k đồng,Mua sắm
đồ dùng học 300k,Giáo dục
vừa tiền cho em gái đi học 4tr luôn,Gia đình
vừa grab car 900k nhé,Di chuyển
hôm nay hoa 1tr xong,Quà tặng
hôm nay thuê trọ 50.000 lần này,Nhà ở
hôm nay gia sư 350k rồi,Giáo dục
phong bì socola 15tr vừa chi,Quà tặng
phong bì bánh kem 120.000đ,Quà tặng
xét nghiệm 350.000đ,Sức khỏe
hôm nay khách ck 350k thật,Bán hàng
cuối tháng trả chụp ảnh 35k đấy,Freelance
điều hòa tháng này 4tr,Nhà ở
đăng ký thẻ tập gym California 600k,Sức khỏe
vừa vitamin 12tr luôn,Sức khỏe
đặt bánh mì 70k nhé,Ăn uống
hình như đt mới 1tr,Mua sắm
05-05-2026 Du lịch 250k thật,Du lịch
tiền phụng dưỡng cha mẹ già 5tr,Gia đình
tối qua dạy kèm 1tr á,Freelance
cuối tuần sắm túi 2tr thật,Mua sắm
hôm nay trả thuốc 35k thật,Sức khỏe
hôm nay trả shopee 3tr á,Bán hàng
ờm thuốc 50kđ lần này,Sức khỏe
tối qua trả đồ dùng học 10tr thật,Giáo dục
05-05-2026 gia sư 150k nhé,Giáo dục
tối qua chi payroll 2tr xong,Lương
thanh toán viết content 850k tháng này,Freelance
chi karaoke 2tr lần này,Giải trí
cuối tháng thú y 800k luôn,Thú cưng
nhận tiền dự án app 12tr,Freelance
tiền từ cho thuê nhà 15tr,Đầu tư
cước điện thoại cố định VNPT 100k,Hóa đơn
payroll 90k rồi,Lương
tặng mỹ phẩm cho chị gái 500k,Quà tặng
hôm nay tư vấn tâm lý 350.000đ đấy,Sức khỏe
vừa đi grab car 50k vnd thật,Di chuyển
nhận cashback thẻ 950k,Thu nhập khác
hôm nay sửa đồ 55k vừa xong,Khác
cuối tháng trả concert 100k nhé,Giải trí
thuê phòng dài hạn 2tr nhé,Nhà ở
bảo hiểm y tế tự nguyện 800k,Hóa đơn
hôm nay tiền được tặng 250k luôn,Thu nhập khác
hình như thanh toán wifi 1tr2 luôn,Hóa đơn
cuối tuần chi shopee 50kđ xong,Bán hàng
đăng ký phần mềm thiết kế 500k,Hóa đơn
ờm nâng cấp RAM máy tính 350.000đ luôn,Mua sắm
cát mèo 2tr hơi đau ví,Thú cưng
hình như mượn bạn trả lại tiền 4tr vừa xong,Khác
ờm tết 50k á,Quà tặng
vé máy bay Hà Nội 1tr8,Du lịch
chi phí chứng chỉ 650k,Giáo dục
cuối tháng trả sim 450k á,Hóa đơn
chi thức ăn chó 120k,Thú cưng
cuối tháng chi tết 20k thật,Quà tặng
Be 550k,Di chuyển
tối qua tiền về quê 50kđ xong,Gia đình
cuối tuần giúp đỡ 70k,Từ thiện
hôm nay thưởng tết 15tr vừa xong,Thưởng
cuối tháng chi lãi tiết kiệm 120k á,Đầu tư
05-05-2026 chi KPI 12tr nhé,Thưởng
"tháng này cọc trả lại 1,5tr xong",Thu nhập khác
Baemin cơm hộp VP 180k,Ăn uống
nhận hoàn tiền Momo 850k (2026),Thu nhập khác
ăn uống du lịch chuyến đi 600k,Du lịch
tháng này thưởng tết 8tr haiz,Thưởng
"hôm nay trả netflix 1,5tr thật",Giải trí
cuối tuần trả cát mèo 15k xong,Thú cưng
nạp game 200k,Giải trí
tối qua chi KPI 200k,Thưởng
mua set son 3 cây 400k,Mua sắm
ờm trả content 50k vnd vừa xong,Freelance
cuối tuần video 2tr,Freelance
tối qua lương kỳ 250k nhé,Lương
tháng này trả bán đồ cũ 350k rồi,Bán hàng
đặt điện thoại phụ kiện trên mạng 5tr tháng này,Mua sắm
đồ chơi trẻ em 750k,Gia đình
chi gia sư 80k thật,Giáo dục
thay vòi sen 200k,Nhà ở
vừa chi quạt 80k haiz,Nhà ở
05-05-2026 gửi xe tháng 10tr thật,Di chuyển
hôm nay đổ xăng 120k nhé,Di chuyển
ờm tiền khách thanh toán đơn 1tr2 haiz,Bán hàng
cty thưởng tết 35k,Thưởng
hình như đi bệnh viện 15k,Sức khỏe
tháng này trả không rõ 180k rồi,Khác
tối qua chi linh tinh 25k luôn,Khác
ờm trả cưới 20k nhé,Quà tặng
ăn uống chuyến đi 200k,Du lịch
hôm nay thưởng dự án 900k thật,Thưởng
thức ăn chó cao cấp 300k,Thú cưng
tháng này trả quyên góp 18k đấy,Từ thiện
ờm sắm đồ gia dụng 1tr hơi đau ví,Mua sắm
05-05-2026 tiêm phòng 5tr xong,Thú cưng
cuối tuần trả phát sinh 35k nhé,Khác
"freelance làm video 1,5tr",Freelance
hình như nhận tiền bán laptop cũ 15000000 rồi,Bán hàng
xét nghiệm máu 600k,Sức khỏe
xem phim 45k,Giải trí
ủng hộ 100k rồi,Từ thiện
mua ghế sofa phòng khách 5tr,Nhà ở
hôm nay chi quạt 18k luôn,Nhà ở
tháng này gas 50000 thật,Hóa đơn
hôm nay trả thuê trọ 50kđ á,Nhà ở
hôm nay tk nhận tiền tháng 50k đấy,Lương
tối qua sinh nhật 8tr vừa xong,Quà tặng
tháng này sắm son 50000 vừa xong,Mua sắm
hôm nay trả quạt 45k thật,Nhà ở
ờm chi vitamin 200k hơi đau ví,Sức khỏe
tháng này giúp đỡ 200k thật,Từ thiện
cuối tuần tiền ăn khi đi du lịch 700k haiz,Du lịch
tiền học con 50k vnd,Gia đình
vừa hoàn tiền ngân hàng 15tr luôn,Thu nhập khác
vitamin 50k á,Sức khỏe
cuối tháng cát mèo 1tr,Thú cưng
sửa đồ 180k,Khác
chi không rõ 50000 đấy,Khác
tháng này trả sách 12tr vừa xong,Giáo dục
tối qua trả thú y 50kđ hơi đau ví,Thú cưng
tối qua chi KPI 5tr lần này,Thưởng
tối qua chi từ thiện 700k vừa xong,Từ thiện
CK FREELANCE WEB,Freelance
freelance thiết kế web 10k rồi,Freelance
mua áo thun 30k,Mua sắm
vừa thuê phòng dài hạn 200k đấy,Nhà ở
cuối tuần trả Du lịch 400k đấy,Du lịch
hôm nay trả gas bếp 12tr vừa xong,Nhà ở
tặng gấu bông 800k,Quà tặng
phí bảo trì chung cư quý 500k,Hóa đơn
tháng này grab car 450k nhé,Di chuyển
đăng ký học React JS online 1tr,Giáo dục
05-05-2026 sữa bé 200k lần này,Gia đình
cuối tuần lương kỳ 250k á,Lương
"tháng này sửa đồ 50,000 haiz",Khác
ờm trả netflix 50000 lần này,Giải trí
cuối tháng gia sư 50k vnd vừa xong,Giáo dục
cuối tuần sữa bé 100k,Gia đình
tháng này chi ủng hộ 10tr xong,Từ thiện
cuối tháng trả không rõ 120k xong,Khác
tối qua doanh thu 600k luôn,Bán hàng
mua thảm phòng khách 500k,Nhà ở
vừa sách 55k hơi đau ví,Giáo dục
thu bán hàng Facebook 220k,Bán hàng
hôm nay phí làm giấy tờ hành chính 80k thật,Khác
tối qua wifi 1tr2 xong,Hóa đơn
ờm order lazada 800k đấy,Mua sắm
cf với team 500k,Ăn uống
vừa từ thiện 60k thật,Từ thiện
tối qua lương kỳ 900k á,Lương
payroll 900k,Lương
nhận tiền mừng tân gia 2tr,Thu nhập khác
cưới 350.000đ hơi đau ví,Quà tặng
05-05-2026 khóa học 700k lần này,Giáo dục
cuối tháng concert 50k vnd vừa xong,Giải trí
trả cát mèo 18k đấy,Thú cưng
tiền từ cổ tức 200k,Đầu tư
cuối tháng order tai nghe 180k,Mua sắm
order ốc luộc 8tr,Ăn uống
sữa tươi tiệm tạp hóa 25k,Ăn uống
freelance thiết kế logo 300k,Freelance
chi ba mẹ 30k vừa xong,Gia đình
thuốc 30k luôn,Sức khỏe
đóng sửa ống nước 450k,Nhà ở
tháng này sinh nhật 350k nhé,Quà tặng
tối qua trả học phí 40k xong,Giáo dục
05-05-2026 thuê xe đi du lịch 12tr luôn,Du lịch
chi phí Grab xe 80k,Di chuyển
05-05-2026 trả bán đồ cũ 18k nhé,Bán hàng
"vừa Du lịch 50,000 luôn",Du lịch
tiền từ cổ tức 180k — ghi chú,Đầu tư
05-05-2026 đặt cọc phòng trọ 900k vừa xong,Nhà ở
hôm nay gas 350k đấy,Hóa đơn
vừa sửa đồ 2tr5 luôn,Khác
cuối tháng chi vitamin 18k rồi,Sức khỏe
du lịch Hạ Long thuê xe máy 700k,Du lịch
hôm nay chi quà bạn 15tr á,Quà tặng
mua đồ dùng học vẽ 400k,Giáo dục
hôm nay cho mẹ mua thuốc 80k luôn,Gia đình
sơn lại phòng ngủ 1tr5,Nhà ở
05-05-2026 trả sữa bé 350k thật,Gia đình
05-05-2026 freelance thiết kế web 2tr5 rồi,Freelance
ủng hộ lũ lụt 50kđ,Từ thiện
thu lãi tiết kiệm 2tr (2026),Đầu tư
ờm trả nước 2tr5 luôn,Hóa đơn
đi nha khoa 30k luôn,Sức khỏe
tháng này vé tàu hỏa Sài Gòn Đà Nẵng 50.000 vừa xong,Di chuyển
sơn tường 800k thật,Nhà ở
05-05-2026 shopee 900k rồi,Bán hàng
05-05-2026 chi dạy kèm 2tr5 vừa xong,Freelance
tối qua chi sữa bé 250k đấy,Gia đình
tháng này quyên góp 50.000 nhé,Từ thiện
hình như tiền cho em gái đi học 1tr5 vừa xong,Gia đình
quà cưới cho người thân 2tr,Quà tặng
cuối tuần cho mẹ mua thuốc 800k rồi,Gia đình
hôm nay chi thức ăn chó 5tr xong,Thú cưng
"học phí 1,5tr",Giáo dục
hôm nay phát sinh 900k nhé,Khác
05-05-2026 nâng cấp RAM máy tính 2tr vừa xong,Mua sắm
gia hạn diệt virus Kaspersky 500k,Hóa đơn
tối qua phí bank 50000 đấy,Hóa đơn
sushi 120k haiz,Ăn uống
vừa trả content 100k á,Freelance
tối qua chi concert 1tr đấy,Giải trí
cuối tuần trả tết 180k nhé,Quà tặng
vừa trả ủng hộ 35k đấy,Từ thiện
tháng này nội thất 350.000đ nhé,Nhà ở
hôm nay nâng cấp RAM máy tính 200k vừa xong,Mua sắm
cuối tuần tiền công ty 50.000 hơi đau ví,Lương
học phí trường nghề 5tr,Giáo dục
tháng này chi thức ăn chó 600k,Thú cưng
nộp internet Viettel 25k,Hóa đơn
ờm ba mẹ 40k hơi đau ví,Gia đình
ờm nhận quà 50kđ luôn,Thu nhập khác
trả shopee 600k rồi,Bán hàng
tặng hoa tươi cho mẹ ngày 8/3 200k,Quà tặng
tối qua chi video 50k xong,Freelance
05-05-2026 chi ủng hộ 350.000đ hơi đau ví,Từ thiện
cuối tuần chi content 200k hơi đau ví,Freelance
mẹ chuyển tiền cho con 1tr,Thu nhập khác
lãi suất tiền gửi kỳ hạn 12 tháng 1tr,Đầu tư
cuối tháng từ thiện 500k á,Từ thiện
nhận lãi tiết kiệm 25.000đ,Đầu tư
resort Mũi Né 30k,Du lịch
cuối tuần đi xanh sm 50k haiz,Di chuyển
bún đặc sản miền Trung 65k,Ăn uống
khám thú y 50k vnd,Thú cưng
"chi nội thất nhỏ 1,5tr",Nhà ở
05-05-2026 bonus 800k,Thưởng
thu nhập thụ động từ cổ tức 3tr,Đầu tư
mua son môi 150k,Mua sắm
cuối tháng chi KPI 2tr nhé,Thưởng
tháng này bán đồ cũ 80k lần này,Bán hàng
bonus quý 2tr5,Thưởng
tháng này bán đồ cũ 25k haiz,Bán hàng
mua truyện tranh 150k,Giải trí
hôm nay chi không rõ 200k đấy,Khác
thanh toán tip phục vụ 100k,Khác
05-05-2026 việc linh tinh 15 triệu rồi,Khác
hôm nay thưởng tết 700k xong,Thưởng
lãi tiết kiệm ngân hàng 500k,Đầu tư
cuối tháng trả netflix 3tr đấy,Giải trí
tháng này KPI 400k haiz,Thưởng
nhận tiền làm video 450k — ghi chú,Freelance
tối qua shopee 900k vừa xong,Bán hàng
05-05-2026 chi quà bạn 15tr hơi đau ví,Quà tặng
gia hạn domain website 300k,Hóa đơn
cuối tuần linh tinh 900k xong,Khác
tháng này refund lazada 15tr,Thu nhập khác
tối qua thưởng dự án 150k hơi đau ví,Thưởng
thu tiền bán hàng 450k,Bán hàng
ờm đặt cà phê 350k á,Ăn uống
hôm nay đầu tư coin lời 1tr đấy,Đầu tư
tối qua trả phim 80k haiz,Giải trí
tháng này trả Du lịch 60k luôn,Du lịch
hôm nay trả con 60k luôn,Gia đình
hôm nay Du lịch 20k đấy,Du lịch
tháng này khoản cty chuyển 8tr xong,Lương
cuối tháng chi phí đăng kiểm 80k thật,Di chuyển
du lịch Cần Thơ resort 60k,Du lịch
cuối tuần quyên góp 35k thật,Từ thiện
"thanh toán phí bảo hiểm nhân thọ 1,5tr",Hóa đơn
05-05-2026 nhận mừng 800k luôn,Thu nhập khác
05-05-2026 chi không rõ 100k vừa xong,Khác
05-05-2026 HR chuyển 500k vừa xong,Lương
cuối tuần trả khám bệnh 50.000 thật,Sức khỏe
tiền công ty 600k vừa xong,Lương
cuối tuần chi cổ tức 40k lần này,Đầu tư
ShopeeFood bánh xèo 250k,Ăn uống
hôm nay trả ủng hộ 80k nhé,Từ thiện
ờm trả incentive 1tr,Thưởng
chi khám bệnh 18k á,Sức khỏe
cuối tháng ba mẹ 45k nhé,Gia đình
ủng hộ chùa 180k,Từ thiện
05-05-2026 đặt bún chả 55k luôn,Ăn uống
thanh toán truyền hình cáp 100k,Hóa đơn
tháng này booking khách sạn 50k luôn,Du lịch
hôm nay chi lương kỳ 1tr2 lần này,Lương
ờm chi payroll 55k á,Lương
cuối tháng shopee 250k,Bán hàng
hôm nay trả khoản cty chuyển 120k rồi,Lương
"cuối tháng trả quà bạn 50,000 xong",Quà tặng
cuối tháng trái phiếu 55k á,Đầu tư
tháng này chi thưởng dự án 450k lần này,Thưởng
05-05-2026 chi gym 100k,Sức khỏe
thưởng lễ 25.000đ,Thưởng
mua quần áo trẻ em 400k,Mua sắm
phí quản lý chung cư tháng này 10tr,Nhà ở
hôm nay sửa vòi nước 120k nhé,Nhà ở
05-05-2026 cưới 100k thật,Quà tặng
giúp đỡ gia đình khó khăn trong xóm 200k,Từ thiện
ờm Du lịch 450k nhé,Du lịch
trả refund 70k rồi,Thu nhập khác
di cho mua do 300k,Mua sắm
tối qua chi KPI 200k nhé,Thưởng
vừa order son 5tr rồi,Mua sắm
nhận lãi gửi kỳ hạn 15tr lần này,Đầu tư
vừa phí bank 2tr5 đấy,Hóa đơn
vừa quyên góp 100k nhé,Từ thiện
tối qua ông bà 2tr lần này,Gia đình
vừa dạy kèm 90k nhé,Freelance
tháng này trả Du lịch 900k thật,Du lịch
đóng sách giáo khoa 450k vừa chi,Giáo dục
cashback 120k thật,Thu nhập khác
hôm nay gia sư 1tr hơi đau ví,Giáo dục
hôm nay lương kỳ 500k vừa xong,Lương
ờm chốt đơn son 3tr luôn,Mua sắm
hôm nay ủng hộ 25k á,Từ thiện
bán laptop 180k,Bán hàng
học thêm hóa lý tháng 800k,Giáo dục
tặng quà tết ông bà 2tr,Quà tặng
05-05-2026 wifi 45k lần này,Hóa đơn
05-05-2026 vé máy bay đi du lịch 1tr5 luôn,Du lịch
chi internet wifi 950k,Nhà ở
05-05-2026 mua thuốc cho bản thân 50k rồi,Sức khỏe
cuối tháng chi đồ dùng học 900k xong,Giáo dục
ờm nhận tiền bán laptop cũ 15tr vừa xong,Bán hàng
cuối tháng ông bà 35k lần này,Gia đình
client thanh toán invoice 50k vnd,Freelance
tặng bánh kem 20tr,Quà tặng
tiền từ cho thuê nhà 4tr vừa chi,Đầu tư
vừa trả content 180k,Freelance
du lịch Hội An mua tour 400k,Du lịch
lãi coin,Đầu tư
đặt giày sneaker trên mạng 8tr,Mua sắm
hôm nay thú y 50k vnd xong,Thú cưng
đóng góp góp quỹ vaccine 120.000đ,Từ thiện
nhận tiền dạy online 800k,Freelance
cuối tháng chi tết 25k,Quà tặng
hôm nay trả Du lịch 3tr rồi,Du lịch
nhận tiền ship COD 4tr vừa xong,Bán hàng
du lịch Cần Thơ vé máy bay 75k,Du lịch
05-05-2026 trả giúp đỡ 60k nhé,Từ thiện
vừa trả doanh thu 5tr hơi đau ví,Bán hàng
vé sự kiện 1tr5,Giải trí
tối qua trả refund 35k hơi đau ví,Thu nhập khác
05-05-2026 grab đi làm 50k rồi,Di chuyển
tháng này trả gas bếp 50k rồi,Nhà ở
tối qua tk nhận tiền tháng 50kđ vừa xong,Lương
phí ngân hàng tháng 20k lần này,Hóa đơn
"ờm lazada 1,5tr vừa xong",Mua sắm
05-05-2026 hoàn tiền 15tr hơi đau ví,Thu nhập khác
cuối tuần vitamin 25k nhé,Sức khỏe
khách chuyển tiền đặt hàng 1tr5,Bán hàng
ăn tối BBQ 500k,Ăn uống
hôm nay trả incentive 10tr haiz,Thưởng
trả đăng kiểm 150k hơi đau ví,Di chuyển
05-05-2026 trả lãi tiết kiệm 3tr haiz,Đầu tư
cháo vịt 45k,Ăn uống
ck freelance web 5tr,Freelance
ờm trái phiếu 50k hơi đau ví,Đầu tư
chụp ảnh 55k luôn,Freelance
hôm nay nồi chiên 30k luôn,Mua sắm
cuối tuần lãi tiết kiệm 50.000 đấy,Đầu tư
05-05-2026 trả khách ck 30k hơi đau ví,Bán hàng
thu tiền bán đồ cũ 800k,Bán hàng
hôm nay thanh toán grab bike 10tr rồi,Di chuyển
tắm cắt lông chó Poodle 200k,Thú cưng
trả khách ck 1tr2 luôn,Bán hàng
vừa mua vật dụng sửa nhà 12tr đấy,Nhà ở
"tối qua chi quạt 50,000 rồi",Nhà ở
chi du lịch Singapore cả đoàn 10tr,Du lịch
tối qua trả phát sinh 500k rồi,Khác
ờm lương kỳ 8tr vừa xong,Lương
tháng này bán đồ cũ 2tr hơi đau ví,Bán hàng
hôm nay tiền công ty 100k thật,Lương
cuối tuần netflix 300k lần này,Giải trí
ờm chi sữa bé 350k nhé,Gia đình
tối qua chi sửa đồ 50000 haiz,Khác
05-05-2026 mua nồi chiên 900k thật,Mua sắm
chi linh tinh 1tr nhé,Khác
tháng này học phí 55k luôn,Giáo dục
tháng này người thân gửi lại tiền 600k,Thu nhập khác
chi kem chống nắng 20tr,Sức khỏe
05-05-2026 chi KPI 800k vừa xong,Thưởng
05-05-2026 concert 2tr5 nhé,Giải trí
coffee meeting nhẹ 350k,Ăn uống
hôm nay chi thức ăn chó 20k rồi,Thú cưng
tháng này trả bonus 800k luôn,Thưởng
cuối tháng sách 10tr lần này,Giáo dục
hủ tiếu Nam Vang 75k,Ăn uống
tối qua cổ tức 50000 thật,Đầu tư
tối qua doanh thu 50.000 hơi đau ví,Bán hàng
hôm nay KPI 45k vừa xong,Thưởng
đóng gia sư 20tr — ghi chú,Giáo dục
05-05-2026 chi không rõ 80k haiz,Khác
05-05-2026 khách ck 55k hơi đau ví,Bán hàng
tiền làm đồ họa cho thương hiệu 3tr,Freelance
thuốc tẩy giun 180k,Thú cưng
05-05-2026 chi incentive 180k thật,Thưởng
ờm Du lịch 200k xong,Du lịch
vé metro 250k xong,Di chuyển
hôm nay nấu sushi 2tr nhé,Ăn uống
ờm đi xăng xe 5tr lần này,Di chuyển
"trả HR chuyển 1,5tr á",Lương
du lịch Cần Thơ mua tour 800k,Du lịch
cuối tháng ăn shopeefood 90k rồi,Ăn uống
05-05-2026 chi thưởng dự án 18k thật,Thưởng
cuối tuần chi video 250k nhé,Freelance
hình như nhận lại tiền cọc 100k vừa xong,Thu nhập khác
vừa vé máy bay đi du lịch 2tr5 rồi,Du lịch
cuối tháng thưởng dự án 300k thật,Thưởng
tháng này trả khách ck 5tr nhé,Bán hàng
nhận lại tiền cọc 3tr luôn,Thu nhập khác
trả tiền gửi ô tô 300k vừa chi,Di chuyển
nộp cước di động 220k,Hóa đơn
chi phí phí thi 2tr,Giáo dục
ờm chắc hôm nay lỡ order trà sữa 20k,Ăn uống
nhận lại cọc 180k,Thu nhập khác
cuối tháng chi ck tiền trọ 18k lần này,Nhà ở
tháng này nhận mừng 500k haiz,Thu nhập khác
hình như khách ck tiền đơn 350k luôn,Bán hàng
cuối tuần học phí 12tr,Giáo dục
tối qua trả xe khách 50.000 hơi đau ví,Di chuyển
ờm nhận lại tiền cọc 600k đấy,Thu nhập khác
nhận cổ tức tiền mặt 2tr,Đầu tư
cho con tiêu vặt 700k,Gia đình
nhận lại tiền cọc 15.000.000 thật,Thu nhập khác
tiền thuê trọ tháng này 80k thật,Nhà ở
tháng này chi gas bếp 15k,Nhà ở
tối qua chi thú y 15k xong,Thú cưng
claim tiền taxi khách hàng 500k,Di chuyển
tối qua chi phí xanh sm 180k nhé,Di chuyển
hôm nay cashback thẻ 150k luôn,Thu nhập khác
hôm nay trả nước 1tr2,Hóa đơn
mua giày sandal nữ 300k,Mua sắm
"cuối tuần phát sinh 50,000 xong",Khác
cuối tuần trả nha khoa 300k rồi,Sức khỏe
spa nail 50k vnd,Mua sắm
ờm chi Du lịch 8tr lần này,Du lịch
cuối tháng chi payroll 18k lần này,Lương
tx grab 700k,Di chuyển
05-05-2026 trả KPI 800k thật,Thưởng
pet shop 12tr,Thú cưng
cuối tháng uống sushi 50k vnd lần này,Ăn uống
05-05-2026 trả cát mèo 350k xong,Thú cưng
ờm chi phí xe khách 300k rồi,Di chuyển
"cuối tuần trả incentive 50,000 thật",Thưởng
"cuối tuần chi sữa bé 50,000 á",Gia đình
tháng này đồ dùng học 50000 vừa xong,Giáo dục
tháng này mua đồ gia dụng 4tr thật,Mua sắm
chi sửa đồ 15tr hơi đau ví,Khác
hôm nay chi concert 500k,Giải trí
tháng này chi tiền công ty 90k rồi,Lương
tháng này khám bệnh 80k,Sức khỏe
trả gia sư 55k á,Giáo dục
nhận lương tháng 4 220k tháng này,Lương
05-05-2026 trả doanh thu 2tr á,Bán hàng
thanh toán internet Viettel 5tr,Hóa đơn
chi phí board game 180k,Giải trí
hôm nay trả video 12tr luôn,Freelance
tháng này trả gas bếp 50000 hơi đau ví,Nhà ở
05-05-2026 mượn bạn trả lại tiền 700k nhé,Khác
quyên góp môi trường 25.000đ,Từ thiện
chuyển khoản sữa bột 95k (2026),Gia đình
shopping 🛍️ 50.000,Mua sắm
tháng này xe khách 200k luôn,Di chuyển
mua đồ lặt vặt 80k,Khác
hôm nay mua sạc dự phòng 400k,Mua sắm
ShopeeFood bún riêu 25.000đ tháng này,Ăn uống
gửi tiền về quê 350.000đ nhé,Gia đình
tiền ăn ký túc xá 1tr5,Ăn uống
gia sư 800k — ghi chú,Giáo dục
cuối tháng sắm nồi chiên 700k rồi,Mua sắm
học phí tiếng Nhật N4 1tr2,Giáo dục
ờm trả spotify 15tr xong,Giải trí
gas bếp tháng này 750k,Nhà ở
05-05-2026 bán đồ cũ 18k haiz,Bán hàng
hình như nhận tiền bán áo 1tr,Bán hàng
phong bì gift card 650k,Quà tặng
tháng này chi cát mèo 3tr,Thú cưng
Baemin cháo lòng 500k,Ăn uống
tối qua ba mẹ 20k đấy,Gia đình
làm thêm ngoài giờ được thêm 2tr,Freelance
doanh thu Shopee 25.000đ,Bán hàng
cuối tháng thú y 50000 vừa xong,Thú cưng
cuối tuần spotify 200k hơi đau ví,Giải trí
thanh toán phí hành chính 900k,Khác
trả incentive 25k nhé,Thưởng
ăn bánh mì que 25k,Ăn uống
cuối tháng trả phim 15tr á,Giải trí
vừa chi Du lịch 40k haiz,Du lịch
vừa trả khách ck 1tr2 haiz,Bán hàng
hôm nay dạy kèm 15tr haiz,Freelance
mua quần jean 350k đồng,Mua sắm
đóng sách giáo khoa 450k,Giáo dục
ờm tiền được tặng 600k đấy,Thu nhập khác
nộp phí dịch vụ điện thoại 800k,Hóa đơn
cơm gà Hội An 70k,Ăn uống
Du lịch 5tr haiz,Du lịch
ờm trả logo 200k vừa xong,Freelance
vừa trả nội thất 50000 haiz,Nhà ở
05-05-2026 trả vitamin 600k luôn,Sức khỏe
câu cá cuối tuần 150k,Giải trí
thuốc 1tr thật,Sức khỏe
vừa trả dạy kèm 900k thật,Freelance
tháng này chi khoản cty chuyển 500k xong,Lương
tháng này incentive 50.000 haiz,Thưởng
tối qua sửa đồ 90k lần này,Khác
05-05-2026 chi tiêm phòng 450k đấy,Thú cưng
05-05-2026 nhận tiền bán áo 600k nhé,Bán hàng
05-05-2026 trả cho thuê 18k thật,Đầu tư
chi internet wifi 1tr2,Nhà ở
tháng này bán đồ cũ 250k hơi đau ví,Bán hàng
hình như tiền thuê trọ tháng này 350.000đ đấy,Nhà ở
"tiền học con 50,000",Gia đình
vừa đồ dùng học 120k hơi đau ví,Giáo dục
tặng quà tri ân sếp 600k,Quà tặng
tháng này HR chuyển 500k nhé,Lương
05-05-2026 chi KPI 90k thật,Thưởng
cuối tháng trả phí bank 30k vừa xong,Hóa đơn
sữa bé 8tr haiz,Gia đình
phí không rõ 50kđ,Khác
tháng này phim 120k rồi,Giải trí
hóa đơn gas bếp nấu 120k,Hóa đơn
hình như phí ngân hàng hàng tháng 5tr đấy,Hóa đơn
đóng học thêm toán 90k,Giáo dục
chi đồ dùng học 90k,Giáo dục
giúp đỡ 150k haiz,Từ thiện
05-05-2026 trả tiền công ty 50000 haiz,Lương
vừa gửi tiền sinh hoạt về nhà 1tr vừa xong,Gia đình
ờm chi shopee 450k hơi đau ví,Bán hàng
cuối tháng trả học phí 350.000đ rồi,Giáo dục
hôm nay ủng hộ 18k nhé,Từ thiện
đặt váy trên mạng 350k,Mua sắm
"chuyển khoản tiền ba mẹ 1,5tr",Gia đình
ờm tiêm phòng 900k đấy,Thú cưng
chi phí be 800k vừa xong,Di chuyển
05-05-2026 mua vitamin 1tr5,Sức khỏe
tháng này pizza 2tr5 thật,Ăn uống
trả khóa học 12tr á,Giáo dục
trà sữa trân châu 40k,Ăn uống
cuối tuần chi cashback 450k haiz,Thu nhập khác
thanh toán mua pin 28k lần này,Khác
"tối qua không rõ 50,000 xong",Khác
tối qua chi website 18k,Freelance
chi cát mèo 15k hơi đau ví,Thú cưng
grab office về nhà muộn 50k vnd,Di chuyển
luong thang 12 ve tk 15tr,Lương
dt mới 8tr nhé,Mua sắm
cuối tuần trả khách ck 50kđ xong,Bán hàng
mua đồ gia dụng 150k luôn,Mua sắm
05-05-2026 gym 8tr rồi,Sức khỏe
cuối tuần tk nhận tiền tháng 18k thật,Lương
tối qua ủng hộ 45k vừa xong,Từ thiện
vừa trả thưởng dự án 400k xong,Thưởng
ờm khách ck 450k vừa xong,Bán hàng
05-05-2026 thú y 50.000 đấy,Thú cưng
tháng này chi học phí 15k rồi,Giáo dục
logo 10tr haiz,Freelance
bán quần áo 15tr,Bán hàng
chi phí Xanh SM 20tr,Di chuyển
tháng này nha khoa 450k vừa xong,Sức khỏe
trả payroll 2tr rồi,Lương
vừa chi thưởng tết 60k luôn,Thưởng
mua sách truyện 55k (2026),Giải trí
chuyển khoản nhận từ khách hàng 15k rồi,Bán hàng
ờm nâng cấp RAM máy tính 15k vừa xong,Mua sắm
cuối tuần mì Quảng 25.000đ,Ăn uống
trả giúp đỡ 350.000đ rồi,Từ thiện
05-05-2026 trả khách ck 15k luôn,Bán hàng
hôm nay internet 15k vừa xong,Hóa đơn
cuối tháng trả spotify 1tr2 rồi,Giải trí
